,Version,Test,Dataset,Variable,Response Time (s)
37,3.10.5,area,riops_fc_3dps,votemper,8.6599
38,3.10.5,area,riops_fc_3dps,vosaline,7.8296
39,3.10.5,area,riops_fc_3dps,sspeed,8.2017
40,3.10.5,area,riops_fc_3dps,magwatervel,7.577
41,3.10.5,subset,giops_day,votemper,0.7383
42,3.10.5,subset,riops_fc_3dps,votemper,1.8487
0,3.10.5,profile,giops_day,votemper,1.6272
1,3.10.5,profile,giops_day,vosaline,1.6144
2,3.10.5,profile,giops_day,sspeed,1.8729
3,3.10.5,profile,giops_day,magwatervel,1.9133
4,3.10.5,profile,riops_fc_3dps,votemper,2.9776
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4466
6,3.10.5,profile,riops_fc_3dps,sspeed,3.1399
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.3131
8,3.10.5,virtual mooring,giops_day,votemper,1.6908
9,3.10.5,virtual mooring,giops_day,vosaline,1.5752
10,3.10.5,virtual mooring,giops_day,sspeed,2.1964
11,3.10.5,virtual mooring,giops_day,magwatervel,3.3286
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.5371
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.3229
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.0746
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,9.8958
16,3.10.5,transect,giops_day,votemper,9.3267
17,3.10.5,transect,giops_day,vosaline,8.7551
18,3.10.5,transect,giops_day,sspeed,8.7268
19,3.10.5,transect,giops_day,magwatervel,9.177
20,3.10.5,transect,riops_fc_3dps,votemper,10.3404
21,3.10.5,transect,riops_fc_3dps,vosaline,9.8418
22,3.10.5,transect,riops_fc_3dps,sspeed,11.5569
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.6315
24,3.10.5,hovmoller,giops_day,votemper,6.8063
25,3.10.5,hovmoller,giops_day,vosaline,6.4403
26,3.10.5,hovmoller,giops_day,sspeed,6.5788
27,3.10.5,hovmoller,giops_day,magwatervel,7.5394
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.6624
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.826
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,15.0532
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.7052
32,3.10.5,area,giops_day,votemper,4.2894
33,3.10.5,area,giops_day,vosaline,4.2015
34,3.10.5,area,giops_day,sspeed,4.3281
35,3.10.5,area,giops_day,magwatervel,4.1248
37,3.10.5,area,riops_fc_3dps,votemper,8.1205
38,3.10.5,area,riops_fc_3dps,vosaline,8.2121
39,3.10.5,area,riops_fc_3dps,sspeed,8.8355
40,3.10.5,area,riops_fc_3dps,magwatervel,8.309
41,3.10.5,subset,giops_day,votemper,0.8389
42,3.10.5,subset,riops_fc_3dps,votemper,2.0159
0,3.10.5,profile,giops_day,votemper,1.5814
1,3.10.5,profile,giops_day,vosaline,1.6532
2,3.10.5,profile,giops_day,sspeed,1.7789
3,3.10.5,profile,giops_day,magwatervel,2.3999
4,3.10.5,profile,riops_fc_3dps,votemper,2.4901
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4511
6,3.10.5,profile,riops_fc_3dps,sspeed,3.1573
